Table.item.foodNm,Table.item.foodKindNm,Table.item.largeClsNm,Table.item.middleClsNm,Table.item.smallClsNm
음식이름,식품분류,대분류,중분류,소분류
가루전병,복합식품,부식,구이류,전
가물치국,복합식품,부식,국류,토장국
가물치회,복합식품,부식,회류,생회
가시연꽃열매,단일식품,조미식,양념류,양념류
가시연밥,복합식품,주식,밥류,기타
가오리어채,복합식품,부식,회류,기타
가이주,복합식품,주류,기타,기타
가자미,단일식품,기타,기타,기타
가자미국,복합식품,부식,국류,기타
가자미젓,복합식품,부식,젓갈류,발효젓
가자미조림,복합식품,부식,찜류,조림
가자미찌개,복합식품,부식,전골류,찌개
가지,단일식품,기타,기타,기타
가지국,복합식품,부식,국류,맑은장국
가지김치,복합식품,부식,김치,야채김치
가지나물,복합식품,부식,나물류,숙채
가지누르미,복합식품,부식,구이류,구이
가지말림,단일식품,기타,기타,기타
가지선,복합식품,부식,찜류,선
가지장,복합식품,조미식,장류,기타
가지장아찌,복합식품,부식,장아찌류,장아찌
가지전,복합식품,부식,구이류,전
가지절임,복합식품,기타,기타,기타
가지조림,복합식품,기타,기타,기타
가지지,복합식품,기타,기타,기타
가지지게미,복합식품,기타,기타,기타
가지지게미절임,복합식품,기타,기타,기타
가지찜,단일식품,부식,찜류,찜
가집장,복합식품,조미식,장류,기타
가짜장,복합식품,조미식,장류,기타
가초선,복합식품,부식,회류,생회
가화육,복합식품,부식,회류,생회
간,단일식품,부식,찜류,볶음
간구이,복합식품,기타,기타,기타
간무침,복합식품,부식,장아찌류,기타
간볶음,복합식품,부식,찜류,볶음
간장,복합식품,조미식,장류,간장
간장게장,복합식품,부식,젓갈류,발효젓
간장구이,복합식품,부식,구이류,구이
간전,복합식품,부식,구이류,전유어
간조림,복합식품,부식,찜류,조림
간회,복합식품,부식,회류,기타
갈근,단일식품,기타,기타,기타
갈근시루떡,복합식품,기호식,떡류,찐떡
갈대가루면,복합식품,주식,면류,국수
갈대잎찰밥,복합식품,주식,밥류,흰밥
갈분국,복합식품,주식,면류,국수
갈분다식,복합식품,기호식,한과류,다식
갈분사면화채,복합식품,주식,면류,국수
갈분응이,복합식품,주식,죽류,응이
갈비구이,복합식품,부식,구이류,구이
갈비숙회,복합식품,부식,회류,기타
갈비찜,복합식품,부식,찜류,찜
갈비탕,복합식품,부식,국류,탕류
갈치젓,복합식품,부식,젓갈류,발효젓
갈치조림,복합식품,부식,찜류,조림
감,단일식품,기타,기타,기타
감국,복합식품,기타,기타,기타
감국나물,복합식품,부식,나물류,숙채
감국싹죽,복합식품,주식,죽류,죽
감국잎,단일식품,조미식,양념류,고명류
감국전,복합식품,부식,구이류,전
귤,단일식품,기타,기타,기타
귤정과,복합식품,기호식,한과류,정과
감꼭지,단일식품,조미식,양념류,양념류
감떡,복합식품,기호식,떡류,찐떡
감사과,복합식품,기호식,한과류,유밀과
감스프,복합식품,기타,기타,기타
감식초,복합식품,조미식,양념류,양념류
감나무잎전,복합식품,부식,구이류,전
감자만두,복합식품,주식,면류,만두
감자밥,복합식품,주식,밥류,기타
감자병,복합식품,기호식,떡류,기타
감자장아찌,복합식품,부식,장아찌류,장아찌
감자조림,복합식품,부식,찜류,조림
감자튀김,복합식품,기타,기타,기타
감주,복합식품,주류,양조곡주,순곡주류
감창약,복합식품,기타,기타,기타
감초,단일식품,기타,기타,기타
감초탕,복합식품,주식,죽류,죽
감화부,복합식품,부식,찜류,찜
소내장회,단일식품,부식,회류,생회
갓김치,복합식품,부식,김치,야채김치
갓말림,단일식품,기타,기타,기타
갓절임,복합식품,기타,기타,기타
갓채,복합식품,부식,나물류,생채
귤차,복합식품,기호식,음청류,다류
강낭콩,단일식품,기타,기타,기타
강된장,복합식품,조미식,장류,된장
강분다식,복합식품,기호식,한과류,다식
강정,복합식품,기호식,한과류,유과
강정고명,복합식품,기호식,한과류,유과
강죽차,복합식품,기호식,음청류,다류
개고기,단일식품,부식,찜류,기타
개고기구이,복합식품,부식,구이류,구이
개고기동아찜,복합식품,부식,찜류,찜
개고기절임,복합식품,기타,기타,기타
개고기찜,복합식품,부식,찜류,찜
개떡,복합식품,기호식,떡류,기타
개순대,복합식품,기타,기타,기타
